id,name,location_state,location_city,causes,sdg,website,contact_email,description
1,Asha Trust,Tamil Nadu,Chennai,"women empowerment, entrepreneurship, livelihoods, skill development",SDG 1 No Poverty; SDG 5 Gender Equality; SDG 8 Decent Work,https://example.org/asha-trust,contact@ashatrust.org,"Empowers rural and urban poor women through entrepreneurship training, microcredit linkages, and market access programs in and around Chennai."
2,EduCare Foundation,Karnataka,Bengaluru,"education, girl child, scholarships, digital literacy",SDG 4 Quality Education; SDG 10 Reduced Inequalities,https://example.org/educare,hello@educare.org,"Provides scholarships and after-school support for underprivileged children, with a focus on girl child education and STEM digital literacy."
3,Green Earth Collective,Maharashtra,Pune,"environment, climate action, tree plantation, waste management",SDG 13 Climate Action; SDG 11 Sustainable Cities,https://example.org/greenearth,team@greenearth.org,"Runs urban afforestation, plastic waste reduction drives, and climate education workshops for schools and housing societies in Pune."
4,Seva Health Network,Tamil Nadu,Coimbatore,"healthcare, maternal health, preventive care, screenings",SDG 3 Good Health and Well-Being,https://example.org/seva-health,support@sevahealth.org,"Organizes free medical camps, maternal health checkups, vaccination awareness, and telemedicine for underserved rural blocks near Coimbatore."
5,Relief India,Assam,Guwahati,"disaster relief, floods, emergency response, shelter",SDG 11 Sustainable Cities; SDG 13 Climate Action; SDG 17 Partnerships,https://example.org/relief-india,ops@reliefindia.org,"Coordinates flood relief, temporary shelters, and distribution of essentials during monsoons across Brahmaputra basin; partners with local volunteers."
6,NGO 6,Kerala,Kochi,"education, literacy, digital skills",SDG 4 Quality Education,https://example.org/ngo6,contact@ngo6.org,"NGO 6 works in Kochi, Kerala focusing on education, literacy, digital skills. It contributes to SDG 4 Quality Education."
7,NGO 7,Kerala,Thiruvananthapuram,"women empowerment, self help groups",SDG 5 Gender Equality,https://example.org/ngo7,contact@ngo7.org,"NGO 7 works in Thiruvananthapuram, Kerala focusing on women empowerment, self help groups. It contributes to SDG 5 Gender Equality."
8,NGO 8,Delhi,New Delhi,"healthcare, sanitation, nutrition",SDG 3 Good Health and Well-Being,https://example.org/ngo8,contact@ngo8.org,"NGO 8 works in New Delhi, Delhi focusing on healthcare, sanitation, nutrition. It contributes to SDG 3 Good Health and Well-Being."
9,NGO 9,Uttar Pradesh,Lucknow,"agriculture, farmer welfare",SDG 2 Zero Hunger,https://example.org/ngo9,contact@ngo9.org,"NGO 9 works in Lucknow, Uttar Pradesh focusing on agriculture, farmer welfare. It contributes to SDG 2 Zero Hunger."
10,NGO 10,Bihar,Patna,"environment, biodiversity, conservation",SDG 13 Climate Action,https://example.org/ngo10,contact@ngo10.org,"NGO 10 works in Patna, Bihar focusing on environment, biodiversity, conservation. It contributes to SDG 13 Climate Action."
